total_packets,outgoing_packets,incoming_packets,packet_ratio,unique_destinations,dest_diversity_ratio,protocol_diversity,tcp_packets,udp_packets,icmp_packets,avg_time_between_packets,std_time_between_packets,min_time_between_packets,rapid_packets,unique_ports,port_range,sequential_ports,common_ports,avg_packet_size,std_packet_size,small_packets,response_ratio,no_response_ratio,window_id,packet_position,is_scan,scan_score,rf_prediction,rf_probability,svm_prediction,svm_probability
1000,156,155,1.0064516129032257,5,0.03205128205128205,4,89,7,0,1,0,1,156,0,0,0,0,903.2307692307693,676.1013747823845,55,0.9935897435897436,0.00641025641025641,71,71000,0,5,0,0.19,1,0.8545501012664187
1000,121,92,1.315217391304348,8,0.06611570247933884,4,62,18,0,1,0,1,121,0,0,0,0,517.1404958677685,611.4034716097209,65,0.7603305785123967,0.2396694214876033,72,72000,1,8,1,0.99,1,0.9796869106294149
1000,47,57,0.8245614035087719,4,0.0851063829787234,3,30,4,0,1,0,1,47,0,0,0,0,633.1276595744681,658.9315665801022,18,1.2127659574468086,0.0,73,73000,0,5,0,0.45,0,0.3890451303552017
1000,5,0,5.0,3,0.6,2,3,2,0,1,0,1,5,0,0,0,0,83.0,28.653097563788805,3,0.0,1.0,74,74000,0,5,0,0.0,0,0.017822156470598233
1000,56,34,1.6470588235294117,6,0.10714285714285714,4,22,23,0,1,0,1,56,0,0,0,0,200.67857142857142,376.13489394306197,43,0.6071428571428571,0.39285714285714285,75,75000,1,8,1,1.0,1,0.7090691936459159
1000,484,213,2.272300469483568,8,0.01652892561983471,7,422,26,0,1,0,1,484,0,0,0,0,81.88636363636364,147.7807448577948,447,0.44008264462809915,0.5599173553719008,76,76000,1,9,1,1.0,1,0.9802838004954706
1000,589,14,42.07142857142857,6,0.010186757215619695,6,566,15,0,1,0,1,589,0,0,0,0,62.13752122241087,92.10800245893111,582,0.023769100169779286,0.9762308998302207,77,77000,1,12,1,1.0,1,0.9684648844049671
1000,269,30,8.966666666666667,4,0.01486988847583643,5,250,6,0,1,0,1,269,0,0,0,0,79.64684014869889,168.37725776405276,257,0.11152416356877323,0.8884758364312267,78,78000,1,8,1,0.97,1,0.9798269656944537
1000,820,34,24.11764705882353,5,0.006097560975609756,5,786,22,0,1,0,1,820,0,0,0,0,68.21219512195123,122.08915594785461,797,0.041463414634146344,0.9585365853658536,79,79000,1,9,1,0.99,1,0.9612415851538677
1000,281,93,3.021505376344086,8,0.028469750889679714,8,141,65,0,1,0,1,281,0,0,0,0,101.47330960854093,180.52241698769382,224,0.3309608540925267,0.6690391459074733,80,80000,1,10,1,1.0,1,0.9943379415662696
