src_ip,packet_count,avg_packet_size,most_used_protocol,label
20.190.145.142,17,1042.4705882352941,TCP,0
20.194.184.156,77,683.1168831168832,TCP,0
20.198.167.116,226,644.7433628318585,TCP,0
20.210.166.59,29,640.1724137931035,TCP,0
20.42.65.91,1,54.0,TCP,0
20.42.65.94,135,378.6148148148148,TCP,0
20.42.73.25,255,384.5372549019608,TCP,0
20.42.73.28,115,370.37391304347824,TCP,0
20.50.73.10,59,531.0677966101695,TCP,0
2001:4860:4802:32::181,53,561.2075471698113,QUIC,0
2001:4860:4802:34::178,79,667.4177215189874,QUIC,0
2001:4860:4802:36::181,20,361.95,QUIC,0
2001:4c28:3000:622:107:167:110:216,978,1486.1339468302658,TCP,0
2001:df2:a300:bbbb::135,15,532.4,TCP,0
204.79.197.203,1796,777.8674832962138,QUIC,0
204.79.197.219,191,418.9005235602094,TCP,0
206.189.34.215,20,389.6,TCP,0
207.115.81.2,64,583.171875,TCP,0
207.91.251.91,29,436.7586206896552,TCP,0
23.109.121.157,6,548.8333333333334,TCP,0
23.109.121.174,12,386.9166666666667,TCP,0
23.109.121.182,43,387.4651162790698,TCP,0
23.109.121.187,22,567.6818181818181,TCP,0
23.109.121.242,18,604.3888888888889,TCP,0
23.109.121.37,17,534.0,TCP,0
23.109.121.38,26,1286.423076923077,TCP,0
23.109.121.45,26,1285.576923076923,TCP,0
23.109.121.51,7,481.85714285714283,TCP,0
23.109.121.59,22,409.1818181818182,TCP,0
23.109.121.62,16,598.25,TCP,0
23.109.135.170,16,267.0,TCP,0
23.109.135.172,28,482.89285714285717,TCP,0
23.109.135.188,26,457.88461538461536,TCP,0
23.109.135.19,18,394.3333333333333,TCP,0
23.109.135.194,7,488.85714285714283,TCP,0
23.109.135.20,16,569.3125,TCP,0
23.109.135.202,22,357.04545454545456,TCP,0
23.109.135.218,11,346.72727272727275,TCP,0
23.109.135.53,17,300.05882352941177,TCP,0
23.109.135.62,6,550.0,TCP,0
23.160.0.0,22,626.1363636363636,TLSv1.3,0
23.211.192.170,7,137.85714285714286,TCP,0
23.212.164.219,12,66.0,TCP,0
23.35.47.228,12,172.91666666666666,TCP,0
23.36.28.25,36,635.0833333333334,TCP,0
23.46.7.101,110,974.4636363636364,TCP,0
23.57.76.60,13,407.46153846153845,QUIC,0
23.88.8.123,29,472.2758620689655,TCP,0
23.88.8.125,14,305.14285714285717,TLSv1.2,0
2400:8901::f03c:95ff:feca:e32d,10,564.5,TLSv1.3,0
2404:6800:4002:802::2003,25,687.0,QUIC,0
2404:6800:4002:802::2008,515,1210.9864077669904,QUIC,0
2404:6800:4002:802::200a,42,500.45238095238096,QUIC,0
2404:6800:4002:803::2002,58,656.7413793103449,QUIC,0
2404:6800:4002:804::2002,91,544.3626373626373,QUIC,0
2404:6800:4002:804::2008,10,769.6,TCP,0
2404:6800:4002:804::200a,37,500.3783783783784,QUIC,0
2404:6800:4002:804::200e,27,767.3703703703703,QUIC,0
2404:6800:4002:807::2003,34,148.02941176470588,TCP,0
2404:6800:4002:807::200a,67,954.6865671641791,QUIC,0
2404:6800:4002:808::2001,44,782.9545454545455,QUIC,0
2404:6800:4002:808::2005,73,410.027397260274,TCP,0
2404:6800:4002:80a::2001,409,1134.8141809290953,QUIC,0
2404:6800:4002:80a::200e,16,497.75,QUIC,0
2404:6800:4002:80c::200e,381,818.8057742782153,QUIC,0
2404:6800:4002:80d::2001,101,899.4059405940594,TLSv1.3,0
2404:6800:4002:80d::2002,30,308.1,QUIC,0
2404:6800:4002:80e::2001,25,939.12,TLSv1.3,0
2404:6800:4002:80e::2003,61,648.2950819672132,QUIC,0
2404:6800:4002:80f::2001,15,782.2666666666667,QUIC,0
2404:6800:4002:80f::2002,122,395.3360655737705,QUIC,0
2404:6800:4002:80f::200e,28,654.3928571428571,QUIC,0
2404:6800:4002:810::2003,26,781.1538461538462,QUIC,0
